Jaffa Cakes                                       135 g, $1.70/100g   
Kabanos Spicy Sausage                             $29.90/1kg          
Beans                                             415 g, $0.72/100g   
Jam, Black Currant                                375 ml, $1.28/100ml 
Acacia Honey                                      500 ml, $2.40/100ml 
Small Chunk Pickle Relish                         360 g, $1.94/100g   
Kronung Instant Coffee                            100 g, $8.49/100g   
Dates Medjool                                     907 g, $1.65/100g   
Dried Turkish Apricots                            200 g, $2.00/100g   
Pitted Honey Dates                                907 g, $0.88/100g   
Dried Turkish Figs                                200 g, $1.50/100g   
Tahini                                            907 g, $0.88/100g   
Red Kidney Beans                                  540 ml, $0.28/100ml 
Chicken Bouillon Cubes                            24x21.0 g, $1.25/100g
White Greek Pita                                  425 g, $0.54/100g   
Couscous Medium                                   907 g, $0.38/100g   
Tahini Small                                      454 g, $1.10/100g   
Beef Bouillon Cubes                               80 g, $1.61/100g    
Whole Wheat Greek Pita                            425 g, $0.54/100g   
Organic Dates                                     340 g, $2.06/100g   
Bard Valley Natural Delights Pitted Medjool Dates 340 g, $3.53/100g   
Thickened Creamy Product                          160 g, $1.87/100g   
Honey Pitted Dates                                350 g, $1.43/100g   
Sliced Pickled Turnips                            1 kg, $0.50/100g    
Red Lentils                                       907 g, $0.47/100g   
Pencil Hot Hot Peppers                            80 g, $6.24/100g    
Organic Medjool Dates                             454 g, $3.08/100g   
Cream                                             170 ml, $1.76/100ml 
Jam Preserve Fig                                  370 g, $1.35/100g   
Medjool Premium Chopped Dates                     340 g, $3.23/100g   
Extra Virgin Olive Oil From Greece Organic        750 ml, $3.07/100ml 
Organic Dried Figs                                250 g, $2.40/100g   
Golden Figs                                       227 g, $3.08/100g   
Date Syrup                                        900 g, $0.83/100g   
Quinoa Grains Box                                 500 g, $1.80/100g   
Red Beans, Small                                  907 g, $0.47/100g   
Herbal Tea                                        100 g, $5.99/100g   
Chick Peas Flour                                  907 g, $0.50/100g   
Mix Classic                                       450 g, $2.11/100g   
Tea, Cardamom                                     200 g, $3.00/100g   
Whole Wheat Couscous                              907 g, $0.38/100g   
Extra Virgin Olive Oil                            750 ml, $1.93/100ml 
Gummy Candies Rings Mango Pineapple               120 g, $1.91/100g   
Liquid Honey                                      500 g, $1.40/100g   
Black Olives                                      1 l, $0.70/100ml    
Organic Dried Apricots                            250 g, $2.60/100g   
Plain Yogurt, Balkan 6%                           550 g, $1.09/100g   
Zaatar Jordanian Blend                            454 g, $1.87/100g   
Chicken Luncheon Meat                             340 g, $0.88/100g   
